tk,ret,pkr,mul,dd,pass,spy
SUN,1.543,1.709,-0.025,-0.213,True,0.8038550464912124
RNR,0.572,0.603,-0.137,-0.231,False,0.9017388574286835
EVR,1.559,1.86,-0.434,-0.496,True,0.9077429187656374
IONS,1.081,1.273,-0.33,-0.524,False,0.839122542773342
CRBG,0.058,0.279,-0.186,-0.363,True,0.495963465196392
LULU,-0.647,0.552,-0.68,-0.794,True,0.9091099180899882
DOCN,0.285,0.611,-0.824,-0.848,False,0.6953580442761287
BWA,0.504,0.8,-0.428,-0.459,False,0.9229778298067113
ALGN,-0.69,0.248,-0.786,-0.829,False,0.9229778298067113
CNH,-0.122,0.306,-0.266,-0.438,False,0.9301268199814903
TYL,-0.383,0.322,-0.437,-0.574,False,0.8063489460020139
IESC,12.13,13.379,-0.526,-0.542,True,0.8038550464912124
DT,-0.288,0.236,-0.527,-0.618,False,0.8158989576920381
AA,0.25,1.391,-0.413,-0.755,False,0.9229778298067113
FNF,0.373,0.752,-0.218,-0.367,True,0.8939588917373562
ICLR,-0.19,0.603,-0.629,-0.769,True,0.8113170241498278
VICR,2.562,2.863,-0.676,-0.805,False,1.0588743903614963
EQH,0.54,0.926,-0.26,-0.358,False,0.8038550464912124
U,-0.762,0.587,-0.89,-0.931,False,0.7956440481290941
SMTC,1.258,1.684,-0.794,-0.854,False,0.9020247621431718
ZBRA,-0.445,0.274,-0.59,-0.678,True,0.9235790984689998
AVY,-0.168,0.131,-0.269,-0.318,True,0.8063489460020139
RVTY,-0.172,0.46,-0.402,-0.59,True,0.9301268199814903
WBS,0.87,0.87,-0.292,-0.421,False,0.9002582425274663
MLI,4.546,5.783,-0.114,-0.278,True,0.9214986159750111
GGG,0.044,0.319,-0.246,-0.29,True,0.83378420994853
ELAN,-0.253,0.139,-0.749,-0.78,False,0.8939588917373562
PEN,0.225,0.391,-0.551,-0.601,False,0.8023451580849241
AXSM,1.814,1.984,-0.064,-0.306,False,0.4736007573254042
PINS,-0.679,0.177,-0.774,-0.808,False,0.9153754763333528
MOD,16.05,20.401,-0.462,-0.516,False,0.8038550464912124
SMMT,1.814,6.182,-0.867,-0.876,False,0.6993477778294597
WTS,1.414,1.479,-0.281,-0.441,True,0.8038550464912124
RMBS,4.021,5.921,-0.165,-0.488,False,0.8008788571757468
TRMB,-0.409,0.076,-0.541,-0.574,True,0.8023451580849241
